iter	MultiClass
0	1.35878215
1	1.183217793
2	1.048872725
3	0.9507977103
4	0.8687608544
5	0.7955270901
6	0.7339010832
7	0.6810334513
8	0.6347649275
9	0.593798722
10	0.5581621129
11	0.5267151861
12	0.499429645
13	0.4733307835
14	0.4526533907
15	0.4327107731
16	0.4146483987
17	0.3973928568
18	0.3826904354
19	0.3685645758
20	0.356350216
21	0.3455833822
22	0.3347006889
23	0.3257668042
24	0.3171702314
25	0.3085656811
26	0.3008266329
27	0.2937916961
28	0.2868071444
29	0.2799325055
30	0.2748113792
31	0.2693302796
32	0.2644624671
33	0.2597176896
34	0.2558329539
35	0.2516861148
36	0.2472470647
37	0.2441609377
38	0.241337713
39	0.2391739414
40	0.2364532201
41	0.23409424
42	0.2317345732
43	0.2283019731
44	0.2258563024
45	0.2236075304
46	0.22125604
47	0.2188001413
48	0.21733695
49	0.2149429627
50	0.212223015
51	0.2108079903
52	0.2092189193
53	0.2074495638
54	0.2054803543
55	0.2033036925
56	0.2014768094
57	0.200152753
58	0.1983888477
59	0.1971446344
60	0.1952497828
61	0.1940080534
62	0.193147749
63	0.191873233
64	0.1908275964
65	0.1894572466
66	0.187834316
67	0.1870537317
68	0.1861345026
69	0.1847116909
70	0.1841053534
71	0.183353963
72	0.1823317632
73	0.1811275369
74	0.1802170893
75	0.1787930644
76	0.1781027938
77	0.177241693
78	0.1758869152
79	0.1750917396
80	0.1738945193
81	0.1724197708
82	0.1719817683
83	0.1708744339
84	0.1701299281
85	0.1690911626
86	0.1681900314
87	0.1677451742
88	0.16689719
89	0.166088311
90	0.1650516453
91	0.1642696526
92	0.1638093049
93	0.1628001338
94	0.1619862687
95	0.1610696299
96	0.1601330742
97	0.1591923473
98	0.1586254587
99	0.157607381
100	0.1568816183
101	0.1561435361
102	0.1550082194
103	0.1546126861
104	0.1535922083
105	0.1532340899
106	0.1527836035
107	0.1521977437
108	0.151788834
109	0.1507789138
110	0.1502201019
111	0.1496024507
112	0.1490837976
113	0.1483731577
114	0.1475152857
115	0.1470213989
116	0.1459050187
117	0.1454943687
118	0.1451137727
119	0.1443797398
120	0.1439944749
121	0.1432590501
122	0.1426681688
123	0.1420572052
124	0.141713467
125	0.140917631
126	0.1402094087
127	0.1399963495
128	0.1393680418
129	0.138870524
130	0.138082299
131	0.1374426703
132	0.1368480195
133	0.136397831
134	0.1358986367
135	0.1354018159
136	0.1347870463
137	0.1345643407
138	0.1341030366
139	0.1338269367
140	0.1332124855
141	0.1328014279
142	0.1324531634
143	0.1321760554
144	0.1317522057
145	0.1315711068
146	0.1311147948
147	0.1306412004
148	0.1302213238
149	0.1298993652
150	0.1294685761
151	0.1291153593
152	0.1288296273
153	0.1285305345
154	0.1281292662
155	0.1279178558
156	0.1274956523
157	0.1272063939
158	0.1268480399
159	0.1263391194
160	0.1257531256
161	0.1253859737
162	0.1250701978
163	0.1247081241
164	0.1242195552
165	0.1236758415
166	0.1234727036
167	0.1230326974
168	0.1225677136
169	0.1222017037
170	0.1218559832
171	0.1216162321
172	0.1212986402
173	0.1207607274
174	0.12047484
175	0.1199402119
176	0.1196644407
177	0.1193924094
178	0.1190118919
179	0.1186662074
180	0.1183454059
181	0.1180875314
182	0.1178763458
183	0.1175711042
184	0.1173753616
185	0.1169830305
186	0.116464958
187	0.1162012153
188	0.1159646524
189	0.1152982668
190	0.1150862887
191	0.1147228406
192	0.1145705808
193	0.1140612461
194	0.1138350828
195	0.1135779153
196	0.113177798
197	0.1129035862
198	0.1125514017
199	0.1122264183
